GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,JobSkillImportanceOtherSelect1,JobSkillImportanceOtherSelect2,JobSkillImportanceOtherSelect3,CoursePlatformSelect,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,EmployerSize,EmployerSizeChange,EmployerMLTime,EmployerSearchMethod,UniversityImportance,JobFunctionSelect,WorkHardwareSelect,WorkDataTypeSelect,WorkProductionFrequency,WorkDatasetSize,WorkAlgorithmsSelect,WorkToolsSelect,WorkToolsFrequencyAmazonML,WorkToolsFrequencyAWS,WorkToolsFrequencyAngoss,WorkToolsFrequencyC,WorkToolsFrequencyCloudera,WorkToolsFrequencyDataRobot,WorkToolsFrequencyFlume,WorkToolsFrequencyGCP,WorkToolsFrequencyHadoop,WorkToolsFrequencyIBMCognos,WorkToolsFrequencyIBMSPSSModeler,WorkToolsFrequencyIBMSPSSStatistics,WorkToolsFrequencyIBMWatson,WorkToolsFrequencyImpala,WorkToolsFrequencyJava,WorkToolsFrequencyJulia,WorkToolsFrequencyJupyter,WorkToolsFrequencyKNIMECommercial,WorkToolsFrequencyKNIMEFree,WorkToolsFrequencyMathematica,WorkToolsFrequencyMATLAB,WorkToolsFrequencyAzure,WorkToolsFrequencyExcel,WorkToolsFrequencyMicrosoftRServer,WorkToolsFrequencyMicrosoftSQL,WorkToolsFrequencyMinitab,WorkToolsFrequencyNoSQL,WorkToolsFrequencyOracle,WorkToolsFrequencyOrange,WorkToolsFrequencyPerl,WorkToolsFrequencyPython,WorkToolsFrequencyQlik,WorkToolsFrequencyR,WorkToolsFrequencyRapidMinerCommercial,WorkToolsFrequencyRapidMinerFree,WorkToolsFrequencySalfrod,WorkToolsFrequencySAPBusinessObjects,WorkToolsFrequencySASBase,WorkToolsFrequencySASEnterprise,WorkToolsFrequencySASJMP,WorkToolsFrequencySpark,WorkToolsFrequencySQL,WorkToolsFrequencyStan,WorkToolsFrequencyStatistica,WorkToolsFrequencyTableau,WorkToolsFrequencyTensorFlow,WorkToolsFrequencyTIBCO,WorkToolsFrequencyUnix,WorkToolsFrequencySelect1,WorkToolsFrequencySelect2,WorkFrequencySelect3,WorkMethodsSelect,WorkMethodsFrequencyA/B,WorkMethodsFrequencyAssociationRules,WorkMethodsFrequencyBayesian,WorkMethodsFrequencyCNNs,WorkMethodsFrequencyCollaborativeFiltering,WorkMethodsFrequencyCross-Validation,WorkMethodsFrequencyDataVisualization,WorkMethodsFrequencyDecisionTrees,WorkMethodsFrequencyEnsembleMethods,WorkMethodsFrequencyEvolutionaryApproaches,WorkMethodsFrequencyGANs,WorkMethodsFrequencyGBM,WorkMethodsFrequencyHMMs,WorkMethodsFrequencyKNN,WorkMethodsFrequencyLiftAnalysis,WorkMethodsFrequencyLogisticRegression,WorkMethodsFrequencyMLN,WorkMethodsFrequencyNaiveBayes,WorkMethodsFrequencyNLP,WorkMethodsFrequencyNeuralNetworks,WorkMethodsFrequencyPCA,WorkMethodsFrequencyPrescriptiveModeling,WorkMethodsFrequencyRandomForests,WorkMethodsFrequencyRecommenderSystems,WorkMethodsFrequencyRNNs,WorkMethodsFrequencySegmentation,WorkMethodsFrequencySimulation,WorkMethodsFrequencySVMs,WorkMethodsFrequencyTextAnalysis,WorkMethodsFrequencyTimeSeriesAnalysis,WorkMethodsFrequencySelect1,WorkMethodsFrequencySelect2,WorkMethodsFrequencySelect3,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,AlgorithmUnderstandingLevel,WorkChallengesSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkDataVisualizations,WorkInternalVsExternalTools,WorkMLTeamSeatSelect,WorkDatasets,WorkDatasetsChallenge,WorkDataStorage,WorkDataSharing,WorkDataSourcing,WorkCodeSharing,RemoteWork,CompensationAmount,CompensationCurrency,SalaryChange,JobSatisfaction,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
Male,United States,62,"Independent contractor, freelancer, or self-employed",,,Yes,,Programmer,Fine,Self-employed,R,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,University/Non-profit research group websites","Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,Very useful,Very useful,Very useful,,Very useful,,,,,R Bloggers Blog Aggregator,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Master's degree,Other,More than 10 years,"Computer Scientist,Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",0,100,0,0,0,0,Supervised Machine Learning (Tabular Data),"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests",A professional degree,Non-profit,,,,,Not at all important,Other,Traditional Workstation,Text data,,,Other,"Cloudera,KNIME (free version),Python,R,Spark / MLlib,Tableau",,,,,Sometimes,,,,,,,,,,,,,,Sometimes,,,,,,,,,,,,Sometimes,,Often,,,,,,,,Sometimes,,,,Often,,,,,,,"Bayesian Techniques,Data Visualization,Decision Trees,Naive Bayes,Segmentation,Simulation,Text Analytics",,,Sometimes,,,,Often,Sometimes,,,,,,,,,,Sometimes,,,,,,,,Sometimes,Often,,Sometimes,,,,,30,25,10,20,15,0,Enough to explain the algorithm to someone non-technical,"Dirty data,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",,,,,Often,,,,,,,,,,,,,,,Often,Most of the time,,76-99% of projects,Entirely internal,Other,N/A,Finding good datasets,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",Other,github,Other,Always,"65,000",USD,Has decreased 20% or more,5,,,,,,,,,,,,,,,,,,
Male,Russia,36,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Jupyter notebooks,Deep learning,Python,,"Kaggle,Textbook",,,,,,,Very useful,,,,,,,,,,,,,< 1 year,Unnecessary,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,,,,2 - 10 hours,Kaggle Competitions,No,Professional degree,,6 to 10 years,"DBA/Database Engineer,Programmer,Researcher,Software Developer/Software Engineer",Kaggle competitions,20,0,0,0,80,0,,,A doctoral degree,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech-specific job board,1-2,Very Important,Somewhat important,Very Important,Not important,Somewhat important,Not important,Not important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Not important
Female,United States,21,Employed part-time,,,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,Amazon Machine Learning,,R,GitHub,"College/University,Kaggle,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,,,Somewhat useful,,,,Very useful,,< 1 year,Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,,,Basic laptop (Macbook),0 - 1 hour,Master's degree,No,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,I haven't started working yet,University courses,20,0,0,80,0,0,,,A bachelor's degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Career fair or on-campus recruiting event,3-5,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Male,United States,25,"Not employed, but looking for work",,,,,,,,Python,Time Series Analysis,Stata,University/Non-profit research group websites,"Kaggle,Online courses,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,Somewhat useful,,,Somewhat useful,,,,,"Becoming a Data Scientist Podcast,Emergent/Future Newsletter (Algorithmia),Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",3-5 years,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,,,,Coursera,Basic laptop (Macbook),11 - 39 hours,Experience from work in a company related to ML,Yes,Master's degree,Other,Less than a year,"Researcher,Statistician",University courses,50,10,0,30,10,0,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)","Some college/university study, no bachelor's degree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,20+,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important
Male,United States,25,"Not employed, but looking for work",,,,,,,,SAP BusinessObjects Predictive Analytics,Social Network Analysis,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,Government website,University/Non-profit research group websites","College/University,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,,,Somewhat useful,R Bloggers Blog Aggregator,1-2 years,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,,,,,Gaming Laptop (Laptop + CUDA capable GPU),11 - 39 hours,Master's degree,Sort of (Explain more),Master's degree,Mathematics or statistics,3 to 5 years,I haven't started working yet,University courses,20,0,0,80,0,0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,3-5,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Not important
Male,Poland,58,"Independent contractor, freelancer, or self-employed",,,Yes,,DBA/Database Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,Hadoop/Hive/Pig,Monte Carlo Methods,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Government website,I collect my own data (e.g. web-scraping)","Kaggle,Online courses,Podcasts,Trade book,Tutoring/mentoring",,,,,,,Very useful,,,,Very useful,,Somewhat useful,,,Somewhat useful,Very useful,,"R Bloggers Blog Aggregator,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman),The Analytics Dispatch Newsletter",,,,,,,,,,,,,,,,,,,Yes,Master's degree,,1 to 2 years,"Data Analyst,DBA/Database Engineer","Online courses (coursera, udemy, edx, etc.)",30,70,0,0,0,0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",A master's degree,Financial,,,,,Important,Analyze and understand data to influence product or business decisions,"Laptop + Cloud service (AWS, Azure, GCE ...),Laptop or Workstation and private datacenters","Text data,Relational data",Sometimes,100GB,"Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression,SVMs","Jupyter notebooks,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,R,SQL",,,,,,,,,,,,,,,,,Sometimes,,,,,Often,Most of the time,,Sometimes,,,,,,,,Most of the time,,,,,,,,,Sometimes,,,,,,,,,,"Bayesian Techniques,Data Visualization,Decision Trees,Logistic Regression,Naive Bayes,Prescriptive Modeling,Random Forests,SVMs,Time Series Analysis",,,Often,,,,Most of the time,Sometimes,,,,,,,,Often,,Rarely,,,,Often,Rarely,,,,,Sometimes,,Sometimes,,,,70,20,0,10,0,0,Enough to tune the parameters properly,"Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Explaining data science to others,Inability to integrate findings into organization's decision-making process,Maintaining responsible expectations about the potential impact of data science projects,Organization is small and cannot afford a data science team,Team using multiple ad-hoc development environments such as Python/R/Java/etc.",Often,Most of the time,,,,Often,,Often,,,,,,Sometimes,,Often,,,Most of the time,,,,26-50% of projects,Do not know,Standalone Team,GUS; fb;tweeter;business data,building datasets and cleansing data,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",I don't typically share data,,Generic non-cloud file sharing software (Email/Shared Server/etc.),Sometimes,"3,000",PLN,Has stayed about the same (has not increased or decreased more than 5%),2,,,,,,,,,,,,,,,,,,
Male,France,20,"Not employed, but looking for work",,,,,,,,TensorFlow,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Online courses,Textbook,YouTube Videos",,,,,,,,,,,Very useful,,,,Somewhat useful,,,Somewhat useful,Linear Digressions Podcast,< 1 year,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Unnecessary,Unnecessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,edX,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,I haven't started working yet,"Online courses (coursera, udemy, edx, etc.)",10,90,0,0,0,0,,,A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Female,Sweden,24,"Not employed, but looking for work",,,,,,,,Spark / MLlib,Text Mining,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites","Blogs,College/University,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Very useful,,,,,,Somewhat useful,Very useful,Somewhat useful,,,Very useful,Very useful,,,Very useful,,3-5 years,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,,,Necessary,,,,,Basic laptop (Macbook),,Master's degree,Sort of (Explain more),Master's degree,Mathematics or statistics,3 to 5 years,,University courses,10,20,0,70,0,0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)","Some college/university study, no bachelor's degree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,India,21,"Not employed, and not looking for work",Yes,"Yes, I'm focused on learning mostly data science skills",,,,,,Python,Deep learning,C/C++/C#,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Tutoring/mentoring,,,,,,,,,,,,,,,,,Very useful,,"Becoming a Data Scientist Podcast,Linear Digressions Podcast,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",< 1 year,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,,,,,Basic laptop (Macbook),2 - 10 hours,Github Portfolio,No,Bachelor's degree,Computer Science,,I haven't started working yet,Other,NA,NA,NA,NA,NA,NA,Survival Analysis,Bayesian Techniques,A master's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,1-2,Not important,Not important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important
Male,United States,38,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Poorly,Employed by company that makes advanced analytic software,Julia,Genetic & Evolutionary Algorithms,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,University/Non-profit research group websites","Blogs,Kaggle,Online courses,Personal Projects",,Somewhat useful,,,,,Very useful,,,,Somewhat useful,Very useful,,,,,,,"Data Elixir Newsletter,No Free Hunch Blog,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",,,,,,,,,,,,,,,,,,,,Doctoral degree,Biology,6 to 10 years,"Data Scientist,Researcher",University courses,30,15,20,35,0,0,"Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A doctoral degree,Internet-based,,,,,Somewhat important,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...)","Text data,Relational data",Sometimes,1GB,"Bayesian Techniques,Decision Trees,Gradient Boosted Machines,HMMs,Random Forests,Regression/Logistic Regression,SVMs","Amazon Web services,Google Cloud Compute,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Stan,TensorFlow,Unix shell / awk",,Sometimes,,,,,,Sometimes,,,,,,,,,Most of the time,,,,,,,,,,,,,,Most of the time,,Sometimes,,,,,,,,Sometimes,Often,Rarely,,,Rarely,,Often,,,,"A/B Testing,Bayesian Techniques,CNNs,Collaborative Filtering,Cross-Validation,Data Visualization,kNN and Other Clustering,PCA and Dimensionality Reduction,Random Forests,Recommender Systems,Time Series Analysis",Sometimes,,Often,Sometimes,Rarely,Often,Most of the time,,,,,,,Sometimes,,,,,,,Often,,Sometimes,Sometimes,,,,,,Often,,,,45,10,10,20,15,0,"Enough to code it again from scratch, albeit it may run slowly","Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Did not instrument data useful for scientific analysis and decision-making,Difficulties in deployment/scoring,Dirty data,Explaining data science to others,Inability to integrate findings into organization's decision-making process,Lack of data science talent in the organization,Lack of funds to buy useful datasets from external sources,Limitations of tools,Maintaining responsible expectations about the potential impact of data science projects,Need to coordinate with IT,Scaling data science solution up to full database,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",Often,Often,Sometimes,Sometimes,Often,Sometimes,,Often,Often,Sometimes,,,Sometimes,Often,Most of the time,,,Sometimes,,Most of the time,Often,,51-75% of projects,More internal than external,Standalone Team,,,"Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Commercial Data Platform,Company Developed Platform,Email,Share Drive/SharePoint",,"Bitbucket,Generic non-cloud file sharing software (Email/Shared Server/etc.),Git",Rarely,"130,000",USD,Has increased 20% or more,4,,,,,,,,,,,,,,,,,,
Male,United States,47,Employed full-time,,,Yes,,Researcher,Perfectly,Employed by college or university,Julia,Neural Nets,Julia,I collect my own data (e.g. web-scraping),"Conferences,Kaggle,Official documentation",,,,,Very useful,,Somewhat useful,,,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Doctoral degree,Mathematics or statistics,More than 10 years,Researcher,Self-taught,100,0,0,0,0,0,,Evolutionary Approaches,,Academic,"5,000 to 9,999 employees",Stayed the same,More than 10 years,,Very important,,Workstation + Cloud service,,,1MB,Other,"Julia,Other",,,,,,,,,,,,,,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,"kNN and Other Clustering,Logistic Regression,Simulation,Other",,,,,,,,,,,,,,Sometimes,,Often,,,,,,,,,,,Often,,,,Most of the time,,,5,94,0,1,0,0,Enough to refine and innovate on the algorithm,"Dirty data,Unavailability of/difficult access to data,Other",,,,,Sometimes,,,,,,,,,,,,,,,,Sometimes,Often,Less than 10% of projects,,,Federal or state data sets,Dirty and not well documented,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)","Email,Share Drive/SharePoint",,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.)",,,,Has stayed about the same (has not increased or decreased more than 5%),10 - Highly Satisfied,,,,,,,,,,,,,,,,,,
Male,United States,27,"Not employed, but looking for work",,,,,,,,Spark / MLlib,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub","College/University,Conferences,Personal Projects",,,Very useful,,Somewhat useful,,,,,,,Very useful,,,,,,,"Data Machina Newsletter,Siraj Raval YouTube Channel,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",1-2 years,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,,,,,"Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Experience from work in a company related to ML,Sort of (Explain more),Master's degree,Computer Science,Less than a year,Software Developer/Software Engineer,Other,0,0,0,100,0,0,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",A master's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meeting with recruiters who've contacted you directly,16-20,Somewhat important,Not important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not important,Very Important,Somewhat important,Somewhat important,Very Important
Male,United States,27,Employed full-time,,,Yes,,Other,Perfectly,Employed by professional services/consulting firm,Oracle Data Mining/ Oracle R Enterprise,Neural Nets,SQL,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search",Blogs,,Somewhat useful,,,,,,,,,,,,,,,,,"FastML Blog,KDnuggets Blog,R Bloggers Blog Aggregator",,,,,,,,,,,,,,,,,,,No,Bachelor's degree,,Less than a year,Other,Work,25,0,75,0,0,0,,Logistic Regression,A bachelor's degree,Other,"1,000 to 4,999 employees",Increased significantly,6-10 years,An external recruiter or headhunter,Somewhat important,Other,"Laptop + Cloud service (AWS, Azure, GCE ...)",Text data,Most of the time,,,"Amazon Machine Learning,Amazon Web services,SQL",Rarely,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,"Logistic Regression,Time Series Analysis",,,,,,,,,,,,,,,,Sometimes,,,,,,,,,,,,,,Sometimes,,,,25,25,50,0,0,0,Enough to run the code / standard library,Company politics / Lack of management/financial support for a data science team,Sometimes,,,,,,,,,,,,,,,,,,,,,,10-25% of projects,More internal than external,Other,,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),"Company Developed Platform,Email,Share Drive/SharePoint",,Generic cloud file sharing software (Dropbox/Box/etc.),Sometimes,55000,USD,Has increased between 6% and 19%,8,,,,,,,,,,,,,,,,,,
