"Response ID","Date submitted","Last page","Start language","How important is User Experience for your?  Good user experience means functional requirements are covered completely, the program is easy to use, and it is a pleasure the work with it.","How important is Replicability for you?  Anyone can read the source code, understand how a function computes, and use it for their own projects.","How important is Transparency for you?  The project permits use, study, and modification of the source code without restriction, and as a normal user you are regularly informed about all aspects.","How important is it to have a Trusted Producer?  Trust in the producer (or rather publisher) means you know the organization and people for years and can rely on the product in the future.","How important is the availability of Technical Support for you?  Technical support in terms of the availability of wikis and forums, as well as the possibility to contact experts and even developers.","How important is Stability for you?  Stability means the program functions properly and does not hang or crash on unexpected conditions.","How important is Security for you?  Security is the protection from information theft or damage as well as from disruption or misdirection of services.","How important is the Cost factor for you?  Open Source software is usually free of charge but might have follow-up costs for training and administration, for instance.","How important is Compatibility for you? This terms means to load data processed with old software versions (backward compatibility) as well as the compatibility across different programs and platforms.","How important is Customizability/Modifiability for you?  The term means you can adapt the program to your personal needs and preferences regarding the visual appearance as well as the workflow.","What other office suites do you use on a regular basis? [Apache OpenOffice]","What other office suites do you use on a regular basis? [Apple iWork]","What other office suites do you use on a regular basis? [Calligra Suite]","What other office suites do you use on a regular basis? [Corel WordPerfect Office]","What other office suites do you use on a regular basis? [Google Docs]","What other office suites do you use on a regular basis? [Kingsoft WPS Office]","What other office suites do you use on a regular basis? [Microsoft Office]","What other office suites do you use on a regular basis? [NeoOffice]","What other office suites do you use on a regular basis? [OnlyOffice]","What other office suites do you use on a regular basis? [SoftMaker Office]","What other office suites do you use on a regular basis? [Other]","How often do you use an online office suite?","For how many years are you a user of LibreOffice and its predecessor?","Would a colleague or friend ask you how to solve a problem with LibreOffice?","What version of LibreOffice do you currently run in production (ie. not just for testing)?","What's your affiliation with the project? [Normal user]","What's your affiliation with the project? [Administration]","What's your affiliation with the project? [Development/Design]","What's your affiliation with the project? [Help authoring/User support at ask.libreoffice.org]","What's your affiliation with the project? [Marketing]","What's your affiliation with the project? [Localization]","What's your affiliation with the project? [QA: reporting, testing, confirming bugs]","What's your affiliation with the project? [Training]","Are you member of The Document Foundation?","What is your operating system?","What is your operating system? [Other]"
"71","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Very important","Extremely important","No","No","No","No","Yes","No","No","No","No","No","","frequently","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"72","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Moderately important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","3","No","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"73","1980-01-01 00:00:00","1","en","Very important","Moderately important","Extremely important","Very important","Moderately important","Very important","Very important","Extremely important","Very important","Very important","No","No","Yes","No","No","Yes","Yes","No","No","No","","occasionally","16","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","Yes","No","No","Linux",""
"74","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"75","1980-01-01 00:00:00","1","en","Moderately important","Slightly important","Slightly important","Very important","Slightly important","Extremely important","Moderately important","Extremely important","Extremely important","Very important","No","No","No","No","No","Yes","Yes","No","No","No","","never","10","Yes","I'm always on 'stable'","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Microsoft Windows 7",""
"76","1980-01-01 00:00:00","1","de","Extremely important","Moderately important","Very important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","6","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"77","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","Very important","Very important","Moderately important","No","No","No","No","Yes","Yes","Yes","No","No","No","","frequently","2","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"78","1980-01-01 00:00:00","1","en","Very important","Moderately important","Very important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","No","No","No","No","No","Yes","Yes","No","No","No","","rarely","1","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"79","1980-01-01 00:00:00","1","de","Very important","Extremely important","Moderately important","Not at all important","Not at all important","Extremely important","Extremely important","Moderately important","Moderately important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"80","1980-01-01 00:00:00","1","de","Very important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","10","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"81","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","No","No","No","No","","rarely","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"82","1980-01-01 00:00:00","1","en","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Slightly important","Not at all important","Not at all important","Not at all important","Extremely important","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","","always","24.1","Yes","Nothing else than 'fresh'","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Linux",""
"83","1980-01-01 00:00:00","1","de","Very important","Very important","Moderately important","Very important","Slightly important","Very important","Very important","Very important","Moderately important","Moderately important","Yes","No","No","No","No","No","Yes","No","No","No","","never","13","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Other","Linux und alle Windows Versionen"
"84","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Moderately important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","frequently","10","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"85","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"86","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","Extremely important","Extremely important","Slightly important","Extremely important","Moderately important","Yes","No","Yes","No","Yes","No","No","No","No","No","","frequently","13","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"87","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Slightly important","Very important","Very important","Very important","Extremely important","Slightly important","No","No","No","No","No","No","No","No","No","No","","rarely","6","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"88","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Slightly important","Moderately important","Not at all important","Very important","Extremely important","Not at all important","Very important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","rarely","8","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"89","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Extremely important","Extremely important","Not at all important","Extremely important","Very important","Extremely important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"90","1980-01-01 00:00:00","1","en","Moderately important","Moderately important","Moderately important","Slightly important","Slightly important","Very important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","8","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"91","1980-01-01 00:00:00","1","en","Very important","Extremely important","Slightly important","Extremely important","Slightly important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"92","1980-01-01 00:00:00","1","en","Very important","Moderately important","Moderately important","Moderately important","Slightly important","Extremely important","Moderately important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","4","Yes","I'm always on 'stable'","Yes","No","Yes","No","No","No","Yes","No","No","Linux",""
"93","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","2","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"94","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"95","1980-01-01 00:00:00","1","fr","Extremely important","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","13","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"96","1980-01-01 00:00:00","1","fr","Moderately important","Moderately important","Slightly important","Moderately important","Slightly important","Very important","Very important","Slightly important","Moderately important","Very important","No","No","No","No","Yes","No","No","No","No","No","","rarely","","No","No idea, whatever the updater recommends","No","No","Yes","No","No","No","No","No","No","Microsoft Windows 7",""
"97","1980-01-01 00:00:00","1","fr","Very important","Slightly important","Slightly important","Moderately important","Very important","Very important","Very important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","rarely","7","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"98","1980-01-01 00:00:00","1","en","Very important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","No","No","Yes","No","Yes","No","Yes","No","No","No","","occasionally","2016","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"99","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"100","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","No","No","No","No","Yes","No","No","No","No","No","","frequently","2","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"101","1980-01-01 00:00:00","1","en","Moderately important","Extremely important","Moderately important","Very important","Slightly important","Very important","Moderately important","Very important","Very important","Not at all important","No","No","No","No","Yes","No","No","No","No","No","","always","","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"102","1980-01-01 00:00:00","1","fr","Very important","Extremely important","Moderately important","Slightly important","Very important","Very important","Very important","Slightly important","Extremely important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","18","Yes","I'm always on 'stable'","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Microsoft Windows 7",""
"103","1980-01-01 00:00:00","1","en","Moderately important","Extremely important","Moderately important","Very important","Slightly important","Very important","Moderately important","Very important","Very important","Not at all important","No","No","No","No","Yes","No","No","No","No","No","","always","12","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"104","1980-01-01 00:00:00","1","de","Very important","Very important","Very important","Slightly important","Moderately important","Very important","Moderately important","Moderately important","Slightly important","Slightly important","No","No","No","No","Yes","No","No","No","No","No","","occasionally","1","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"105","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Very important","Extremely important","Moderately important","Very important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","15","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Other","Linux (primarily) + Windows 7"
"106","1980-01-01 00:00:00","1","fr","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","No","No","No","No","No","none","never","12","Yes","I don't care at all","Yes","No","No","Yes","No","No","Yes","Yes","No","Other","MS Windows 7 AND Linux (can't select both)"
"107","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Extremely important","Slightly important","Moderately important","Very important","Moderately important","Very important","Very important","No","No","No","No","Yes","No","No","No","No","No","","always","15","Yes","No idea, whatever the updater recommends","Yes","No","No","No","No","No","No","No","No","Linux",""
"108","1980-01-01 00:00:00","1","fr","Very important","Extremely important","Extremely important","Very important","Slightly important","Extremely important","Very important","Moderately important","Very important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","rarely","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"109","1980-01-01 00:00:00","1","en","Very important","Slightly important","Extremely important","Very important","Moderately important","Extremely important","Extremely important","Very important","Very important","Moderately important","Yes","No","No","No","No","Yes","Yes","No","No","No","","rarely","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"110","1980-01-01 00:00:00","1","en","Extremely important","Not at all important","Not at all important","Extremely important","Slightly important","Extremely important","Extremely important","Not at all important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","8","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"111","1980-01-01 00:00:00","1","en","Very important","Very important","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Very important","No","No","No","No","No","No","No","No","No","No","","occasionally","16","Yes","Bleeding edge with nightly builds","Yes","No","Yes","No","No","No","Yes","No","No","Linux",""
"112","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"113","1980-01-01 00:00:00","1","es","Moderately important","Very important","Very important","Very important","Moderately important","Extremely important","Very important","Moderately important","Moderately important","Moderately important","No","No","No","No","No","No","No","No","No","No","Lotus Smartsuite","never","2000","Yes","Nothing else than 'fresh'","Yes","No","No","Yes","No","No","Yes","No","Yes","Microsoft Windows 8, 10",""
"114","1980-01-01 00:00:00","1","de","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","No","No","No","No","No","","rarely","9","Yes","I don't care at all","Yes","No","No","No","No","No","No","No","No","Linux",""
"115","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Slightly important","Moderately important","Not at all important","Extremely important","Extremely important","Very important","Moderately important","Very important","No","No","No","No","No","No","No","No","No","No","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"116","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"117","1980-01-01 00:00:00","1","fr","Extremely important","Very important","Very important","Moderately important","Very important","Extremely important","Moderately important","Moderately important","Very important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"118","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Extremely important","Moderately important","Very important","Extremely important","Extremely important","Very important","Moderately important","No","No","No","No","No","Yes","No","No","No","No","","rarely","10","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"119","1980-01-01 00:00:00","1","en","Very important","Extremely important","Very important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Very important","Moderately important","No","Yes","No","No","Yes","No","Yes","No","No","No","","frequently","11","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","Yes","No","No","Microsoft Windows 8, 10",""
"120","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Not at all important","Very important","Not at all important","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","8","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"121","1980-01-01 00:00:00","1","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"122","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Extremely important","Slightly important","Extremely important","Moderately important","Extremely important","Extremely important","Slightly important","No","No","No","No","Yes","Yes","No","No","No","No","","frequently","8","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"123","","","en","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","",""
"124","1980-01-01 00:00:00","1","en","Moderately important","Moderately important","Slightly important","Not at all important","Slightly important","Moderately important","Very important","Extremely important","Very important","Moderately important","No","No","No","No","Yes","No","No","No","No","No","","rarely","20","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","Yes","Yes","No","No","Microsoft Windows 7",""
"125","1980-01-01 00:00:00","1","en","Extremely important","Slightly important","Moderately important","Slightly important","Not at all important","Very important","Very important","Moderately important","Very important","Slightly important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","5","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"126","1980-01-01 00:00:00","1","en","Extremely important","Extremely important","Extremely important","Extremely important","Slightly important","Extremely important","Extremely important","Moderately important","Very important","Slightly important","No","No","No","No","No","No","Yes","No","No","No","","occasionally","1","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"127","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Extremely important","Moderately important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","No","No","No","No","Yes","No","No","No","No","No","","frequently","7","Yes","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"128","1980-01-01 00:00:00","1","en","Extremely important","Very important","Extremely important","Very important","Moderately important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","15","N/A","","No","No","No","No","No","No","No","No","N/A","",""
"129","1980-01-01 00:00:00","1","zh-Hant-TW","Extremely important","Slightly important","Moderately important","Very important","Very important","Extremely important","Moderately important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","rarely","10","No","Nothing else than 'fresh'","Yes","No","No","No","No","Yes","Yes","No","Yes","Linux",""
"130","1980-01-01 00:00:00","1","en","Very important","Very important","Very important","Extremely important","Moderately important","Extremely important","Very important","Very important","Extremely important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","rarely","15","No","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"131","1980-01-01 00:00:00","1","en","Extremely important","Very important","Very important","Extremely important","Very important","Extremely important","Extremely important","Moderately important","Extremely important","Very important","No","No","No","No","Yes","Yes","No","No","No","No","","rarely","5","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
"132","1980-01-01 00:00:00","1","en","Very important","Moderately important","","Moderately important","Very important","Extremely important","Extremely important","Very important","Very important","Very important","No","No","No","No","No","No","Yes","No","No","No","","never","10","Yes","Nothing else than 'fresh'","Yes","No","Yes","Yes","No","No","No","No","No","Linux",""
"133","1980-01-01 00:00:00","1","en","Very important","Extremely important","Very important","Not at all important","Moderately important","Extremely important","Moderately important","Moderately important","Very important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","7","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"134","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Moderately important","Very important","Very important","Extremely important","Very important","Moderately important","Extremely important","Moderately important","No","No","No","No","No","Yes","Yes","No","No","No","","never","2","No","Nothing else than 'fresh'","Yes","No","No","No","No","No","No","No","No","Linux",""
"135","1980-01-01 00:00:00","1","en","Extremely important","Moderately important","Very important","Slightly important","Very important","Very important","Extremely important","Very important","Extremely important","Moderately important","No","No","No","No","No","No","Yes","No","No","No","","never","5","Yes","I'm always on 'stable'","No","No","No","No","No","No","No","No","No","Microsoft Windows 8, 10",""
"136","1980-01-01 00:00:00","1","en","Moderately important","Moderately important","Very important","Very important","Slightly important","Extremely important","Moderately important","Slightly important","Not at all important","Very important","No","No","No","No","Yes","No","Yes","No","No","No","","occasionally","12","Yes","I'm always on 'stable'","Yes","No","No","No","No","No","No","No","No","Linux",""
